,CVE_DOC,CVE_CLPV,STATUS,CVE_VEND,FECHAELAB,FECHA_DOC,FECHA_ENT,FECHA_VEN,FECHA_CANCELA,CAN_TOT,DES_TOT,DES_FIN
18,F29432,1965.0,C,2.0,2019-09-05 11:05:04.000,2019-09-05,2019-09-05 00:00:00,2019-09-20,2019-09-06,976.5,0.0,0
22,F29436,1965.0,C,2.0,2019-09-06 12:01:36.000,2019-09-06,2019-09-06 00:00:00,2019-09-21,2019-09-12,976.5,0.0,0
28,F29442,357.0,E,2.0,2019-09-09 12:30:50.000,2019-09-09,2019-09-09 00:00:00,2019-09-09,,9586.0,479.3,0
42,F29456,960.0,C,2.0,2019-09-10 13:08:53.000,2019-09-10,2019-09-10 00:00:00,2019-09-25,2019-09-10,1059.8700000000001,0.0,0
43,F29457,960.0,C,2.0,2019-09-10 13:14:49.000,2019-09-10,2019-09-10 00:00:00,2019-09-25,2019-09-10,1059.8700000000001,0.0,0
44,F29458,960.0,E,2.0,2019-09-10 13:58:40.000,2019-09-10,2019-09-10 00:00:00,2019-09-25,,1059.8700000000001,0.0,0
49,F29463,925.0,C,1.0,2019-09-10 18:12:13.000,2019-09-10,2019-09-10 00:00:00,2019-11-09,2019-09-12,1800.0000000000002,0.0,0
56,F29470,125.0,E,2.0,2019-09-11 12:38:24.000,2019-09-11,2019-09-11 00:00:00,2019-09-11,,500.0,0.0,0
60,F29474,960.0,E,2.0,2019-09-11 15:34:55.000,2019-09-11,2019-09-11 00:00:00,2019-09-26,,1059.89,0.0,0
63,F29477,925.0,E,1.0,2019-09-11 16:35:00.000,2019-09-11,2019-09-11 00:00:00,2019-11-10,,1800.0000000000002,0.0,0
65,F29479,1240.0,E,2.0,2019-09-11 18:38:45.000,2019-09-11,2019-09-11 00:00:00,2019-09-11,,4135.0,0.0,0
71,F29485,1965.0,C,2.0,2019-09-12 12:14:28.000,2019-09-12,2019-09-12 00:00:00,2019-09-27,2019-09-12,976.5000000000001,146.48,0
72,F29486,1965.0,E,2.0,2019-09-12 12:25:52.000,2019-09-12,2019-09-12 00:00:00,2019-09-27,,976.5000000000001,146.48,0
78,F29492,1020.0,E,2.0,2019-09-12 13:50:21.000,2019-09-12,2019-09-12 00:00:00,2019-10-12,,262.94,0.0,0
79,F29493,1020.0,E,2.0,2019-09-12 13:58:25.000,2019-09-12,2019-09-12 00:00:00,2019-10-12,,448.28000000000003,0.0,0
114,F29528,1125.0,C,,2019-09-18 10:03:18.000,2019-09-18,2019-09-18 00:00:00,2019-10-03,2019-09-18,2697.0,0.0,0
116,F29530,1125.0,E,2.0,2019-09-18 10:12:54.000,2019-09-18,2019-09-18 00:00:00,2019-10-03,,2697.0,0.0,0
120,F29534,537.0,E,2.0,2019-09-18 10:45:39.000,2019-09-18,2019-09-18 00:00:00,2019-10-03,,7096.4237,0.0,0
124,F29538,941.0,E,4.0,2019-09-18 12:08:08.000,2019-09-18,2019-09-18 00:00:00,2019-10-18,,2602.5,0.0,0
128,F29542,417.0,E,2.0,2019-09-18 17:00:36.000,2019-09-18,2019-09-18 00:00:00,2019-10-03,,6221.800000000001,0.0,0
135,F29549,1965.0,E,2.0,2019-09-19 11:14:09.000,2019-09-19,2019-09-19 00:00:00,2019-10-04,,1155.0,173.25000000000006,0
150,F29564,941.0,E,4.0,2019-09-19 16:09:20.000,2019-09-19,2019-09-13 00:00:00,2019-10-19,,1940.0000000000002,0.0,0
155,F29569,728.0,E,1.0,2019-09-20 10:30:55.000,2019-09-20,2019-09-20 00:00:00,2019-11-19,,3112.0000000000005,0.0,0
159,F29573,728.0,C,1.0,2019-09-20 11:55:55.000,2019-09-20,2019-09-20 00:00:00,2019-11-19,2019-09-20,33499.200000000004,5024.88,0
160,F29574,1158.0,E,2.0,2019-09-20 12:06:14.000,2019-09-20,2019-09-20 00:00:00,2019-09-20,,420.00000000000006,0.0,0
161,F29575,728.0,E,1.0,2019-09-20 12:10:57.000,2019-09-20,2019-09-20 00:00:00,2019-11-19,,33499.200000000004,5024.88,0
